,geographic_name,site_type,longitude,latitude,geometry,date_mod,geo_database,google_maps,open_street_maps,aerial_photograph,cartographic_sheet,dictionary
125,granja agricola,locality,-75.5062205,3.7229749,POINT Z (-75.5062205 3.7229749 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
126,el guamal,locality,-75.5213775,3.7020102,POINT Z (-75.5213775 3.7020102 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
127,buenos aires,locality,-75.5230773,3.7289243,POINT Z (-75.5230773 3.7289243 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
128,los pozos,locality,-75.5283185,3.7335989,POINT Z (-75.5283185 3.7335989 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,True
129,esc. el guadual,school,-75.5796819,3.764992,POINT Z (-75.5796819 3.764992 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
130,lagunilla,locality,-75.5807303,3.7514472,POINT Z (-75.5807303 3.7514472 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
131,vallecito,locality,-75.5757724,3.75768,POINT Z (-75.57577240000001 3.75768 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,True
132,mate,locality,-75.5369593,3.7738285,POINT Z (-75.53695930000001 3.7738285 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
133,la victoria,locality,-75.5713811,3.7746784,POINT Z (-75.5713811 3.7746784 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
134,el guadual,locality,-75.575914,3.7623545,POINT Z (-75.575914 3.7623545 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,True
135,el tesoro,locality,-75.523219,3.7615046,POINT Z (-75.523219 3.7615046 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
136,santa ana,locality,-75.5325681,3.7408232,POINT Z (-75.53256810000001 3.7408232 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,True
137,crucero de marta,locality,-75.5261937,3.7510223,POINT Z (-75.52619369999999 3.7510223 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
138,chaparral,town,-75.485156,3.7245851,POINT Z (-75.485156 3.7245851 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
139,chiguali,locality,-75.469674,3.7335989,POINT Z (-75.469674 3.7335989 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
140,madroñal,locality,-75.4178288,3.7178754,POINT Z (-75.4178288 3.7178754 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,True
141,el refugio,locality,-75.4519673,3.7337406,POINT Z (-75.45196730000001 3.7337406 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
142,las mercedes,locality,-75.4437514,3.7083846,POINT Z (-75.4437514 3.7083846 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
143,chircal,locality,-75.4539504,3.7229749,POINT Z (-75.4539504 3.7229749 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
144,el roble,locality,-75.4967298,3.7558385,POINT Z (-75.4967298 3.7558385 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
145,el carmen,locality,-75.4601832,3.7783614,POINT Z (-75.4601832 3.7783614 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
146,santa ines,locality,-75.4243448,3.7588132,POINT Z (-75.4243448 3.7588132 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
