,geographic_name,geometry,site_type,date_mod,dictionary,geo_database,google_maps,open_street_maps,aerial_photograph,cartographic_sheet,longitude,latitude
1847,Monserrate,POINT Z (-75.47215317995551 3.927633181373607 0),,2015-04-28T00:00:00+00:00,False,True,False,False,False,False,-75.47215317995551,3.927633181373607
1848,La Tigrera,POINT Z (-75.47269013480152 3.928235808751979 0),,2015-04-28T00:00:00+00:00,False,True,False,False,False,False,-75.47269013480152,3.9282358087519786
1849,El Cairo,POINT Z (-75.46763867541196 3.927934338543435 0),,2015-04-28T00:00:00+00:00,False,True,False,False,False,False,-75.46763867541196,3.9279343385434347
1850,El Guamal,POINT Z (-75.47062617932815 3.928013384692957 0),,2015-04-28T00:00:00+00:00,False,True,False,False,False,False,-75.47062617932815,3.928013384692957
1851,La Esperanza,POINT Z (-75.46408911488142 3.932311766899427 0),,2015-04-28T00:00:00+00:00,False,True,False,False,False,False,-75.46408911488142,3.9323117668994274
1852,Barranquilla,POINT Z (-75.47344429916305 3.932491856600808 0),,2015-04-28T00:00:00+00:00,False,True,False,False,False,False,-75.47344429916305,3.9324918566008082
1853,Vuelta del Grillo,POINT Z (-75.47387960442144 3.930566364341832 0),,2015-04-28T00:00:00+00:00,False,True,False,False,False,False,-75.47387960442144,3.9305663643418316
1854,El Crédito,POINT Z (-75.47745490874928 3.931930523090938 0),,2015-04-28T00:00:00+00:00,False,True,False,False,False,False,-75.47745490874928,3.931930523090938
1855,El Trilladero,POINT Z (-75.48004880718898 3.929136889483705 0),,2015-04-28T00:00:00+00:00,False,True,False,False,False,False,-75.48004880718898,3.929136889483705
1856,Hacienda Las Mesetas,POINT Z (-75.46111851107406 3.937611748411186 0),Hacienda,2015-04-28T00:00:00+00:00,False,True,False,False,False,False,-75.46111851107406,3.9376117484111863
1857,El Recinto,POINT Z (-75.45729092635696 3.940864133033763 0),,2015-04-28T00:00:00+00:00,False,True,False,False,False,False,-75.45729092635696,3.940864133033763
1858,Altamira,POINT Z (-75.4553291082769 3.942922661503684 0),,2015-04-28T00:00:00+00:00,False,True,False,False,False,False,-75.4553291082769,3.9429226615036836
1859,La Estrella,POINT Z (-75.45676308784593 3.926054029823019 0),,2015-04-28T00:00:00+00:00,False,True,False,False,False,False,-75.45676308784593,3.926054029823019
1860,Altagracia,POINT Z (-75.4565523020791 3.926266431226548 0),,2015-04-28T00:00:00+00:00,True,True,False,False,False,False,-75.4565523020791,3.926266431226548
1861,La Concepción,POINT Z (-75.4576240490853 3.926166786336038 0),,2015-04-28T00:00:00+00:00,False,True,False,False,False,False,-75.4576240490853,3.9261667863360383
1862,El Diviso,POINT Z (-75.45500811963386 3.925486025613015 0),,2015-04-28T00:00:00+00:00,False,True,False,False,False,False,-75.45500811963386,3.9254860256130146
1863,La Bodega,POINT Z (-75.46342710746538 3.922480091825366 0),,2015-04-28T00:00:00+00:00,False,True,False,False,False,False,-75.46342710746538,3.922480091825366
1864,La Maravilla,POINT Z (-75.46472487393982 3.921564484158463 0),,2015-04-28T00:00:00+00:00,False,True,False,False,False,False,-75.46472487393982,3.9215644841584627
1865,Llano Grande,POINT Z (-75.47837526254233 3.923752859779802 0),,2015-04-28T00:00:00+00:00,False,True,False,False,False,False,-75.47837526254233,3.923752859779802
1866,Buenos Aires,POINT Z (-75.47783524352454 3.922027427764709 0),,2015-04-28T00:00:00+00:00,False,True,False,False,False,False,-75.47783524352454,3.9220274277647094
1867,El Jardín,POINT Z (-75.48102092081221 3.923883279132406 0),,2015-04-28T00:00:00+00:00,False,True,False,False,False,False,-75.48102092081221,3.9238832791324056
1868,La Granja,POINT Z (-75.47022741000352 3.914503138509115 0),,2015-04-28T00:00:00+00:00,False,True,False,False,False,False,-75.47022741000352,3.914503138509115
1869,Junín,POINT Z (-75.46663767537736 3.909168221519402 0),,2015-04-28T00:00:00+00:00,False,True,False,False,False,False,-75.46663767537736,3.909168221519402
1870,La Victoria,POINT Z (-75.46776670281947 3.909795744445398 0),,2015-04-28T00:00:00+00:00,False,True,False,False,False,False,-75.46776670281947,3.9097957444453977
1871,El Bosque,POINT Z (-75.46701179646901 3.911826089496782 0),,2015-04-28T00:00:00+00:00,False,True,False,False,False,False,-75.46701179646901,3.9118260894967816
1872,El Coronillo,POINT Z (-75.46707565338475 3.914184696592007 0),,2015-04-28T00:00:00+00:00,False,True,False,False,False,False,-75.46707565338475,3.9141846965920073
1873,Las Brisas,POINT Z (-75.49310514956711 3.918385263744045 0),,2015-04-28T00:00:00+00:00,False,True,False,False,False,False,-75.49310514956711,3.9183852637440455
1874,Los Naranjos,POINT Z (-75.48933005531066 3.920046060041702 0),,2015-04-28T00:00:00+00:00,False,True,False,False,False,False,-75.48933005531066,3.920046060041702
1875,El Porvenir,POINT Z (-75.48792825159998 3.91691945171547 0),,2015-04-28T00:00:00+00:00,False,True,False,False,False,False,-75.48792825159998,3.9169194517154695
1876,Pomarrosa,POINT Z (-75.49099047673657 3.917237960988039 0),,2015-04-28T00:00:00+00:00,False,True,False,False,False,False,-75.49099047673657,3.917237960988039
1877,La Argentina,POINT Z (-75.4848922874001 3.921600066872228 0),,2015-04-28T00:00:00+00:00,False,True,False,False,False,False,-75.4848922874001,3.9216000668722275
1878,San Juan,POINT Z (-75.55093598433677 3.897806184185282 0),,2015-04-28T00:00:00+00:00,True,True,False,False,False,False,-75.55093598433677,3.8978061841852822
1879,Los Higuillos,POINT Z (-75.53820736207038 3.904986026662626 0),,2015-04-28T00:00:00+00:00,False,True,False,False,False,False,-75.53820736207038,3.9049860266626264
