,geographic_name,site_type,longitude,latitude,geometry,date_mod
128,Los Pozos,locality,-75.5283185,3.7335989,POINT Z (-75.5283185 3.7335989 0),2021-08-27T00:00:00+00:00
129,Esc. El Guadual,school,-75.5796819,3.764992,POINT Z (-75.5796819 3.764992 0),2021-08-27T00:00:00+00:00
130,Lagunilla,locality,-75.5807303,3.7514472,POINT Z (-75.5807303 3.7514472 0),2021-08-27T00:00:00+00:00
131,Vallecito,locality,-75.5757724,3.75768,POINT Z (-75.57577240000001 3.75768 0),2021-08-27T00:00:00+00:00
132,Mate,locality,-75.5369593,3.7738285,POINT Z (-75.53695930000001 3.7738285 0),2021-08-27T00:00:00+00:00
133,La Victoria,locality,-75.5713811,3.7746784,POINT Z (-75.5713811 3.7746784 0),2021-08-27T00:00:00+00:00
134,El Guadual,locality,-75.575914,3.7623545,POINT Z (-75.575914 3.7623545 0),2021-08-27T00:00:00+00:00
135,El Tesoro,locality,-75.523219,3.7615046,POINT Z (-75.523219 3.7615046 0),2021-08-27T00:00:00+00:00
136,Santa Ana,locality,-75.5325681,3.7408232,POINT Z (-75.53256810000001 3.7408232 0),2021-08-27T00:00:00+00:00
137,Crucero De Marta,locality,-75.5261937,3.7510223,POINT Z (-75.52619369999999 3.7510223 0),2021-08-27T00:00:00+00:00
138,Chaparral,town,-75.485156,3.7245851,POINT Z (-75.485156 3.7245851 0),2021-08-27T00:00:00+00:00
139,Chiguali,locality,-75.469674,3.7335989,POINT Z (-75.469674 3.7335989 0),2021-08-27T00:00:00+00:00
140,Madroñal,locality,-75.4178288,3.7178754,POINT Z (-75.4178288 3.7178754 0),2021-08-27T00:00:00+00:00
141,El Refugio,locality,-75.4519673,3.7337406,POINT Z (-75.45196730000001 3.7337406 0),2021-08-27T00:00:00+00:00
142,Las Mercedes,locality,-75.4437514,3.7083846,POINT Z (-75.4437514 3.7083846 0),2021-08-27T00:00:00+00:00
143,Chircal,locality,-75.4539504,3.7229749,POINT Z (-75.4539504 3.7229749 0),2021-08-27T00:00:00+00:00
144,El Roble,locality,-75.4967298,3.7558385,POINT Z (-75.4967298 3.7558385 0),2021-08-27T00:00:00+00:00
145,El Carmen,locality,-75.4601832,3.7783614,POINT Z (-75.4601832 3.7783614 0),2021-08-27T00:00:00+00:00
146,Santa Ines,locality,-75.4243448,3.7588132,POINT Z (-75.4243448 3.7588132 0),2021-08-27T00:00:00+00:00
147,Mataredonda,locality,-75.5056539,3.7943682,POINT Z (-75.5056539 3.7943682 0),2021-08-27T00:00:00+00:00
148,Potrerito De Lugo,locality,-75.5312623,3.8063064,POINT Z (-75.53126229999999 3.8063064 0),2021-08-27T00:00:00+00:00
149,Agua Bonita,locality,-75.576764,3.8139164,POINT Z (-75.576764 3.8139164 0),2021-08-27T00:00:00+00:00
150,Barcelona,locality,-75.5526829,3.7959264,POINT Z (-75.55268289999999 3.7959264 0),2021-08-27T00:00:00+00:00
151,Pedregal,locality,-75.5150562,3.8290634,POINT Z (-75.5150562 3.8290634 0),2021-08-27T00:00:00+00:00
152,Potrerito,locality,-75.5301257,3.8430467,POINT Z (-75.5301257 3.8430467 0),2021-08-27T00:00:00+00:00
153,Potrerito Lugo,locality,-75.5279535,3.8384309,POINT Z (-75.5279535 3.8384309 0),2021-08-27T00:00:00+00:00
154,Luxemburgo,locality,-75.576764,3.8276568,POINT Z (-75.576764 3.8276568 0),2021-08-27T00:00:00+00:00
155,Esc. La Julia,school,-75.4952888,3.8191322,POINT Z (-75.4952888 3.8191322 0),2021-08-27T00:00:00+00:00
156,Brazuela,locality,-75.4579167,3.8054172,POINT Z (-75.4579167 3.8054172 0),2021-08-27T00:00:00+00:00
157,Calarma,locality,-75.448001,3.8055589,POINT Z (-75.448001 3.8055589 0),2021-08-27T00:00:00+00:00
158,Calarma,locality,-75.4223582,3.8046255,POINT Z (-75.42235820000001 3.8046255 0),2021-08-27T00:00:00+00:00
159,Esc. Lirios,school,-75.4758981,3.8320422,POINT Z (-75.47589809999999 3.8320422 0),2021-08-27T00:00:00+00:00
160,Esc. Vista Hermosa,school,-75.4137859,3.8501421,POINT Z (-75.41378589999999 3.8501421 0),2021-08-27T00:00:00+00:00
161,El Cural,locality,-75.4903478,3.8415534,POINT Z (-75.4903478 3.8415534 0),2021-08-27T00:00:00+00:00
162,Miramar,locality,-75.4163584,3.8302853,POINT Z (-75.41635839999999 3.8302853 0),2021-08-27T00:00:00+00:00
163,El Curo,locality,-75.4904836,3.8419607,POINT Z (-75.4904836 3.8419607 0),2021-08-27T00:00:00+00:00
164,La Venta,locality,-75.3385029,3.7225499,POINT Z (-75.33850289999999 3.7225499 0),2021-08-27T00:00:00+00:00
165,La Vega,locality,-75.3232043,3.7207084,POINT Z (-75.3232043 3.7207084 0),2021-08-27T00:00:00+00:00
166,La Victoria,locality,-75.3200879,3.7120676,POINT Z (-75.3200879 3.7120676 0),2021-08-27T00:00:00+00:00
167,Tamareo,locality,-75.3037978,3.7066847,POINT Z (-75.3037978 3.7066847 0),2021-08-27T00:00:00+00:00
168,Pipini,locality,-75.3824154,3.7129175,POINT Z (-75.3824154 3.7129175 0),2021-08-27T00:00:00+00:00
169,San Jose,locality,-75.3674002,3.7107927,POINT Z (-75.36740020000001 3.7107927 0),2021-08-27T00:00:00+00:00
170,El Saman,locality,-75.3433191,3.7338822,POINT Z (-75.3433191 3.7338822 0),2021-08-27T00:00:00+00:00
171,El Porvenir,locality,-75.3264623,3.7313324,POINT Z (-75.3264623 3.7313324 0),2021-08-27T00:00:00+00:00
172,Paujil,locality,-75.404655,3.7491808,POINT Z (-75.40465500000001 3.7491808 0),2021-08-27T00:00:00+00:00
173,Mosquitos,locality,-75.3971474,3.7341655,POINT Z (-75.39714739999999 3.7341655 0),2021-08-27T00:00:00+00:00
174,Capellania,locality,-75.3791574,3.725383,POINT Z (-75.3791574 3.725383 0),2021-08-27T00:00:00+00:00
175,Yaguaral,locality,-75.3383612,3.7865773,POINT Z (-75.33836119999999 3.7865773 0),2021-08-27T00:00:00+00:00
176,Vistahermosa,locality,-75.4035969,3.853093,POINT Z (-75.4035969 3.853093 0),2021-08-27T00:00:00+00:00
177,La Aguada,locality,-75.4016962,3.8300137,POINT Z (-75.4016962 3.8300137 0),2021-08-27T00:00:00+00:00
178,Lemaya,locality,-75.378161,3.7959755,POINT Z (-75.37816100000001 3.7959755 0),2021-08-27T00:00:00+00:00
179,Los Planes,locality,-75.7880706,3.8945,POINT Z (-75.7880706 3.8945 0),2021-08-27T00:00:00+00:00
180,Los Pinos,locality,-75.7668919,3.8955861,POINT Z (-75.7668919 3.8955861 0),2021-08-27T00:00:00+00:00
181,La Florida,locality,-75.7719151,3.9106555,POINT Z (-75.7719151 3.9106555 0),2021-08-27T00:00:00+00:00
182,El Mirador,locality,-75.7985241,3.9255891,POINT Z (-75.79852409999999 3.9255891 0),2021-08-27T00:00:00+00:00
183,El Diamante,locality,-75.8287987,3.8829603,POINT Z (-75.82879869999999 3.8829603 0),2021-08-27T00:00:00+00:00
184,Gigante,locality,-75.826898,3.891649,POINT Z (-75.826898 3.891649 0),2021-08-27T00:00:00+00:00
185,Bolivia,locality,-75.7856269,3.8863543,POINT Z (-75.7856269 3.8863543 0),2021-08-27T00:00:00+00:00
186,Santa Fe,locality,-75.7705575,3.9345493,POINT Z (-75.7705575 3.9345493 0),2021-08-27T00:00:00+00:00
187,Balcones,locality,-75.7647197,3.9169004,POINT Z (-75.7647197 3.9169004 0),2021-08-27T00:00:00+00:00
188,Santa Cecilia,locality,-75.7765309,3.9213805,POINT Z (-75.7765309 3.9213805 0),2021-08-27T00:00:00+00:00
189,Satena,locality,-75.6981971,3.8883907,POINT Z (-75.6981971 3.8883907 0),2021-08-27T00:00:00+00:00
190,Mameyal,locality,-75.6774258,3.8966721,POINT Z (-75.67742579999999 3.8966721 0),2021-08-27T00:00:00+00:00
191,La Linda,isolated_dwelling,-75.7046797,3.9061213,POINT Z (-75.7046797 3.9061213 0),2021-08-27T00:00:00+00:00
192,Versalles,locality,-75.6823131,3.9160859,POINT Z (-75.6823131 3.9160859 0),2021-08-27T00:00:00+00:00
193,Alemania,isolated_dwelling,-75.7154594,3.9229241,POINT Z (-75.7154594 3.9229241 0),2021-08-27T00:00:00+00:00
194,Santa Clara,isolated_dwelling,-75.7564384,3.9284401,POINT Z (-75.75643839999999 3.9284401 0),2021-08-27T00:00:00+00:00
195,Vagones,locality,-75.7613257,3.9338705,POINT Z (-75.7613257 3.9338705 0),2021-08-27T00:00:00+00:00
196,Alemania,hamlet,-75.7582143,3.9440893,POINT Z (-75.75821430000001 3.9440893 0),2021-08-27T00:00:00+00:00
197,San José de Las Hermosas,village,-75.6958993,3.9048064,POINT Z (-75.69589929999999 3.9048064 0),2021-08-27T00:00:00+00:00
198,El Cairo,hamlet,-75.6658445,3.90949,POINT Z (-75.66584450000001 3.90949 0),2021-08-27T00:00:00+00:00
199,El Rocio,locality,-75.6482373,3.8744074,POINT Z (-75.64823730000001 3.8744074 0),2021-08-27T00:00:00+00:00
200,Normandia,locality,-75.6487803,3.8794306,POINT Z (-75.6487803 3.8794306 0),2021-08-27T00:00:00+00:00
201,El Mirador (1),locality,-75.6123965,3.8741359,POINT Z (-75.6123965 3.8741359 0),2021-08-27T00:00:00+00:00
202,El Jordan,locality,-75.6246149,3.8750862,POINT Z (-75.6246149 3.8750862 0),2021-08-27T00:00:00+00:00
203,Peñaranda,locality,-75.5932543,3.8841822,POINT Z (-75.5932543 3.8841822 0),2021-08-27T00:00:00+00:00
